code,code_name
sz.002230,科大讯飞
sz.002236,大华股份
sz.002241,歌尔股份
sz.002252,上海莱士
sz.002271,东方雨虹
sz.002304,洋河股份
sz.002311,海大集团
sz.002352,顺丰控股
sz.002371,北方华创
sz.002384,东山精密
sz.002410,广联达
sz.002414,高德红外
sz.002415,海康威视
sz.002456,欧菲光
sz.002460,赣锋锂业
sz.002463,沪电股份
sz.002475,立讯精密
sz.002493,荣盛石化
sz.002508,老板电器
sz.002555,三七互娱
sz.002558,巨人网络
sz.002594,比亚迪
sz.002600,领益智造
sz.002601,龙佰集团
sz.002602,世纪华通
sz.002607,中公教育
sz.002624,完美世界
sz.002673,西部证券
sz.002714,牧原股份
sz.002736,国信证券
sz.002739,万达电影
sz.002773,康弘药业
sz.002812,恩捷股份
sz.002821,凯莱英
sz.002841,视源股份
sz.002916,深南电路
sz.002938,鹏鼎控股
sz.002939,长城证券
sz.002945,华林证券
sz.003816,中国广核
sz.300003,乐普医疗
sz.300014,亿纬锂能
sz.300015,爱尔眼科
sz.300033,同花顺
sz.300059,东方财富
sz.300122,智飞生物
sz.300124,汇川技术
sz.300136,信维通信
sz.300142,沃森生物
sz.300144,宋城演艺
sz.300274,阳光电源
sz.300347,泰格医药
sz.300408,三环集团
sz.300413,芒果超媒
sz.300433,蓝思科技
sz.300450,先导智能
sz.300498,温氏股份
sz.300529,健帆生物
sz.300558,贝达药业
sz.300595,欧普康视
sz.300601,康泰生物
sz.300628,亿联网络
sz.300676,华大基因
sz.300677,英科医疗
