date,code,open,high,low,close,volume
2020-01-02,sh.601169,5.7200,5.7700,5.7200,5.7300,114338725
2020-01-03,sh.601169,5.7500,5.7600,5.7200,5.7400,46631763
2020-01-06,sh.601169,5.7100,5.7500,5.6800,5.7000,62521601
2020-01-07,sh.601169,5.7100,5.7500,5.7000,5.7400,41157279
2020-01-08,sh.601169,5.7000,5.7200,5.6200,5.6400,76864713
2020-01-09,sh.601169,5.6700,5.6900,5.6400,5.6700,46703900
2020-01-10,sh.601169,5.6700,5.6800,5.6300,5.6500,44557462
2020-01-13,sh.601169,5.6500,5.6700,5.6200,5.6600,36309109
2020-01-14,sh.601169,5.6700,5.7000,5.6600,5.6800,54959116
2020-01-15,sh.601169,5.6800,5.6900,5.6200,5.6500,37111210
2020-01-16,sh.601169,5.6500,5.6600,5.6000,5.6100,36468446
2020-01-17,sh.601169,5.6200,5.6500,5.6000,5.6200,33933351
2020-01-20,sh.601169,5.6200,5.6400,5.6000,5.6300,34533002
2020-01-21,sh.601169,5.6200,5.6200,5.5500,5.5600,52298019
2020-01-22,sh.601169,5.5500,5.5700,5.5100,5.5500,52551291
2020-01-23,sh.601169,5.5300,5.5400,5.4000,5.4200,93182630
2020-02-03,sh.601169,5.0000,5.1200,4.9700,5.1100,137191055
2020-02-04,sh.601169,5.0900,5.2100,5.0800,5.1900,77303075
2020-02-05,sh.601169,5.2100,5.2400,5.1500,5.2000,49287138
2020-02-06,sh.601169,5.2100,5.2400,5.1700,5.2300,51953612
2020-02-07,sh.601169,5.2100,5.2800,5.1800,5.2500,42062395
2020-02-10,sh.601169,5.2200,5.2500,5.2100,5.2400,35861602
2020-02-11,sh.601169,5.2500,5.2900,5.2300,5.2500,44005332
2020-02-12,sh.601169,5.2400,5.2700,5.2300,5.2600,35380023
2020-02-13,sh.601169,5.2400,5.2600,5.2100,5.2200,36642862
2020-02-14,sh.601169,5.2200,5.2500,5.2100,5.2500,27254631
2020-02-17,sh.601169,5.2400,5.3300,5.2300,5.3300,49727677
2020-02-18,sh.601169,5.3100,5.3300,5.2800,5.2900,38150515
2020-02-19,sh.601169,5.2900,5.3100,5.2600,5.2700,41546440
