date,code,open,high,low,close,volume
2020-01-02,sh.601857,5.8600,5.8800,5.8400,5.8700,72808500
2020-01-03,sh.601857,5.8700,5.9900,5.8600,5.9500,119856782
2020-01-06,sh.601857,6.0300,6.2800,6.0200,6.2300,301646128
2020-01-07,sh.601857,6.1700,6.1700,6.0700,6.1100,152681755
2020-01-08,sh.601857,6.2600,6.3000,6.1500,6.2300,215451333
2020-01-09,sh.601857,6.0400,6.0800,6.0000,6.0600,159983683
2020-01-10,sh.601857,6.0400,6.0400,5.9600,5.9900,92130621
2020-01-13,sh.601857,5.9900,5.9900,5.9300,5.9700,55118392
2020-01-14,sh.601857,5.9500,5.9800,5.9400,5.9500,44480419
2020-01-15,sh.601857,5.9500,5.9700,5.8600,5.8700,72014546
2020-01-16,sh.601857,5.8800,5.8900,5.8100,5.8300,57860992
2020-01-17,sh.601857,5.8400,5.8700,5.8300,5.8400,36667641
2020-01-20,sh.601857,5.8500,5.8600,5.8100,5.8500,53408389
2020-01-21,sh.601857,5.8500,5.8500,5.7800,5.7900,56028546
2020-01-22,sh.601857,5.7600,5.7700,5.7100,5.7400,66239738
2020-01-23,sh.601857,5.7000,5.7200,5.6200,5.6400,81444447
2020-02-03,sh.601857,5.1400,5.2900,5.0800,5.1300,227093729
2020-02-04,sh.601857,5.0700,5.1900,5.0600,5.1700,106459420
2020-02-05,sh.601857,5.1700,5.2700,5.1300,5.2100,102318674
2020-02-06,sh.601857,5.2500,5.2900,5.2100,5.2700,86647363
2020-02-07,sh.601857,5.2400,5.2800,5.2100,5.2800,61128263
2020-02-10,sh.601857,5.2400,5.2900,5.2200,5.2800,56130919
2020-02-11,sh.601857,5.2700,5.3400,5.2600,5.3000,71171722
2020-02-12,sh.601857,5.2900,5.3200,5.2800,5.3100,54500038
2020-02-13,sh.601857,5.3300,5.3500,5.2800,5.2800,53568587
2020-02-14,sh.601857,5.2600,5.3000,5.2500,5.2800,47917020
2020-02-17,sh.601857,5.2900,5.3800,5.2700,5.3800,84392095
2020-02-18,sh.601857,5.3800,5.3800,5.3300,5.3500,74201915
2020-02-19,sh.601857,5.3500,5.3600,5.3200,5.3300,74189083
2020-02-20,sh.601857,5.3500,5.3800,5.3200,5.3800,105637160
2020-02-21,sh.601857,5.3500,5.3800,5.3400,5.3700,113816298
2020-02-24,sh.601857,5.3400,5.3400,5.2700,5.2800,138156164
2020-02-25,sh.601857,5.2000,5.2200,5.1500,5.1900,150412876
2020-02-26,sh.601857,5.1500,5.2400,5.1200,5.2200,160220097
2020-02-27,sh.601857,5.2000,5.2100,5.1600,5.1700,136252257
2020-02-28,sh.601857,5.1100,5.1400,5.0600,5.0700,209149489
2020-03-02,sh.601857,5.1100,5.1800,5.1000,5.1700,139114686
2020-03-03,sh.601857,5.2300,5.2400,5.1700,5.1900,125035559
2020-03-04,sh.601857,5.1800,5.1900,5.1500,5.1800,89700352
2020-03-05,sh.601857,5.2000,5.2500,5.1800,5.2500,153980518
