date,code,open,high,low,close,volume
2020-01-02,sh.600025,4.2400,4.2600,4.2300,4.2600,51574009
2020-01-03,sh.600025,4.2500,4.2700,4.2200,4.2400,33910568
2020-01-06,sh.600025,4.2300,4.2400,4.1900,4.2000,51503736
2020-01-07,sh.600025,4.2100,4.2600,4.2000,4.2400,39018437
2020-01-08,sh.600025,4.2300,4.2400,4.1700,4.1800,43665044
2020-01-09,sh.600025,4.2000,4.2100,4.1700,4.1900,37397959
2020-01-10,sh.600025,4.1800,4.1900,4.1600,4.1800,25358347
2020-01-13,sh.600025,4.1600,4.1900,4.1500,4.1800,30093139
2020-01-14,sh.600025,4.1900,4.1900,4.1700,4.1800,27141234
2020-01-15,sh.600025,4.1700,4.1800,4.1500,4.1600,20683050
2020-01-16,sh.600025,4.1500,4.1700,4.1200,4.1200,23658278
2020-01-17,sh.600025,4.1200,4.1300,4.0900,4.0900,21868215
2020-01-20,sh.600025,4.0900,4.1000,4.0700,4.0900,31737054
2020-01-21,sh.600025,4.0900,4.0900,4.0300,4.0400,37951056
2020-01-22,sh.600025,4.0300,4.0400,3.9700,4.0200,38862033
2020-01-23,sh.600025,4.0100,4.0200,3.9400,3.9600,33940151
2020-02-03,sh.600025,3.6100,3.8100,3.5900,3.7900,108578073
2020-02-04,sh.600025,3.7500,3.9600,3.7300,3.9000,67698000
2020-02-05,sh.600025,3.9000,3.9400,3.8600,3.9000,45081072
2020-02-06,sh.600025,3.9200,3.9600,3.8900,3.9400,45838054
2020-02-07,sh.600025,3.9300,3.9500,3.9000,3.9400,31097364
2020-02-10,sh.600025,3.9200,3.9400,3.8900,3.9200,34787077
2020-02-11,sh.600025,3.9300,3.9300,3.8900,3.9100,24060161
2020-02-12,sh.600025,3.8900,3.9100,3.8700,3.9000,27784742
2020-02-13,sh.600025,3.9000,3.9000,3.8100,3.8100,51941369
2020-02-14,sh.600025,3.8000,3.8600,3.8000,3.8500,29197798
2020-02-17,sh.600025,3.8400,3.9500,3.8300,3.9400,33233664
2020-02-18,sh.600025,3.9400,4.0200,3.9200,3.9800,29227475
2020-02-19,sh.600025,3.9700,3.9800,3.9100,3.9100,33949673
2020-02-20,sh.600025,3.9100,3.9400,3.8800,3.9300,25714242
2020-02-21,sh.600025,3.9200,3.9300,3.8800,3.8900,36557534
2020-02-24,sh.600025,3.8900,3.8900,3.8300,3.8500,39164661
2020-02-25,sh.600025,3.7900,3.8200,3.7600,3.7900,43095099
2020-02-26,sh.600025,3.7600,3.8600,3.7500,3.8300,40616974
2020-02-27,sh.600025,3.8200,3.8400,3.7900,3.7900,26361561
2020-02-28,sh.600025,3.7400,3.7700,3.6700,3.6900,59854355
2020-03-02,sh.600025,3.7100,3.7900,3.7100,3.7600,35872664
2020-03-03,sh.600025,3.7900,3.8200,3.7700,3.7900,31502027
2020-03-04,sh.600025,3.7600,3.8800,3.7600,3.8600,43594328
2020-03-05,sh.600025,3.8900,3.9500,3.8700,3.9400,49077518
2020-03-06,sh.600025,3.9100,3.9300,3.8800,3.9000,31218072
2020-03-09,sh.600025,3.8500,3.8600,3.7600,3.7800,48633066
2020-03-10,sh.600025,3.7400,3.8800,3.7400,3.8700,45416429
2020-03-11,sh.600025,3.8600,3.8700,3.8100,3.8100,27373594
2020-03-12,sh.600025,3.8000,3.8100,3.7300,3.7500,25786021
2020-03-13,sh.600025,3.6500,3.7100,3.6100,3.6900,47496136
2020-03-16,sh.600025,3.7000,3.7100,3.6000,3.6200,34514453
2020-03-17,sh.600025,3.6200,3.6500,3.5200,3.5700,38058298
2020-03-18,sh.600025,3.5800,3.6400,3.5000,3.5100,31800814
2020-03-19,sh.600025,3.5100,3.5300,3.4000,3.4500,39100505
2020-03-20,sh.600025,3.4700,3.5800,3.4500,3.5800,38714850
2020-03-23,sh.600025,3.5000,3.6000,3.4800,3.5600,29459040
2020-03-24,sh.600025,3.6000,3.6400,3.5700,3.6400,34890835
2020-03-25,sh.600025,3.6900,3.7000,3.6400,3.6700,27605542
2020-03-26,sh.600025,3.6600,3.6600,3.6300,3.6300,14878721
2020-03-27,sh.600025,3.6500,3.6800,3.6400,3.6400,16296989
2020-03-30,sh.600025,3.6200,3.6700,3.5800,3.6600,19994340
