date,code,open,high,low,close,volume
2020-01-02,sh.600143,7.3300,7.5900,7.2500,7.4900,46610830
2020-01-03,sh.600143,7.5000,7.7700,7.4400,7.5300,41263885
2020-01-06,sh.600143,7.4400,7.7300,7.4100,7.5500,55579582
2020-01-07,sh.600143,7.5600,7.7400,7.5100,7.6700,43026002
2020-01-08,sh.600143,7.6300,8.2400,7.4800,8.0400,96581258
2020-01-09,sh.600143,8.2400,8.2400,7.9000,8.0600,67597877
2020-01-10,sh.600143,8.0800,8.5000,7.9000,8.3500,71222181
2020-01-13,sh.600143,8.3000,8.3700,8.0800,8.3700,51038755
2020-01-14,sh.600143,8.2900,8.9800,8.2700,8.7600,91218701
2020-01-15,sh.600143,8.7000,9.2600,8.6500,9.2500,96407189
2020-01-16,sh.600143,9.3600,9.5000,8.8600,9.0900,84102561
2020-01-17,sh.600143,9.0900,9.1000,8.9000,9.0000,39185092
2020-01-20,sh.600143,9.5000,9.7500,8.5600,8.6100,176191859
2020-01-21,sh.600143,8.7800,9.2800,8.6600,8.9700,107775273
2020-01-22,sh.600143,8.9000,9.4100,8.7100,9.2800,97048008
2020-01-23,sh.600143,9.0800,9.6900,9.0400,9.1900,116164067
2020-02-03,sh.600143,8.3300,9.1100,8.2700,8.2700,120520758
2020-02-04,sh.600143,8.3700,8.9300,8.3500,8.8600,112205057
2020-02-05,sh.600143,9.0000,9.2300,8.7600,8.9100,119972937
2020-02-06,sh.600143,8.7800,9.4400,8.6400,9.4100,143391432
2020-02-07,sh.600143,9.2700,9.4700,9.0000,9.1700,123512126
2020-02-10,sh.600143,9.1800,10.0000,9.0900,9.8700,137738259
2020-02-11,sh.600143,10.0000,10.0000,9.4800,9.5400,95679393
2020-02-12,sh.600143,9.3500,9.6500,9.3500,9.5800,74184310
2020-02-13,sh.600143,9.5200,9.5400,9.1400,9.2000,86863289
2020-02-14,sh.600143,9.1300,9.3400,9.0600,9.1000,63926198
2020-02-17,sh.600143,9.1500,9.4500,9.0900,9.4500,80850560
2020-02-18,sh.600143,9.3800,9.4500,9.1700,9.3100,75806086
2020-02-19,sh.600143,9.2700,9.2700,8.8100,8.8500,107240013
2020-02-20,sh.600143,8.8200,9.1000,8.7100,9.0000,85070923
2020-02-21,sh.600143,9.0000,9.2300,8.8600,9.1900,85932302
2020-02-24,sh.600143,9.4200,9.6500,9.2600,9.5700,128641196
2020-02-25,sh.600143,9.4000,10.5300,9.3300,10.5300,234799483
2020-02-26,sh.600143,10.6000,11.0800,9.9100,10.0500,221756273
2020-02-27,sh.600143,10.2900,10.3700,9.7200,9.9500,115872269
2020-02-28,sh.600143,9.7000,10.6500,9.7000,10.0100,174231976
2020-03-02,sh.600143,10.4100,10.8700,10.1500,10.7200,179744325
2020-03-03,sh.600143,10.7900,10.9800,10.4800,10.4800,158586506
2020-03-04,sh.600143,10.4600,10.7500,10.3300,10.5200,104096174
2020-03-05,sh.600143,10.6600,11.5700,10.6000,11.5700,216827567
2020-03-06,sh.600143,11.5700,12.7300,11.2500,12.0000,297773264
2020-03-09,sh.600143,12.0100,12.7900,11.3600,11.5000,259638604
2020-03-10,sh.600143,10.6000,10.9400,10.3500,10.5700,234848841
2020-03-11,sh.600143,10.5400,10.6900,10.0900,10.2100,144277930
2020-03-12,sh.600143,10.1000,10.4000,9.3000,9.4100,156568426
2020-03-13,sh.600143,8.6400,9.2800,8.6200,9.0000,140454964
2020-03-16,sh.600143,9.1900,9.3700,8.5100,8.5900,123221103
2020-03-17,sh.600143,8.6200,8.7800,7.9200,8.3800,122936985
2020-03-18,sh.600143,8.4700,8.6800,8.1400,8.1500,83921703
2020-03-19,sh.600143,8.1000,8.2300,7.8500,8.1000,82723969
2020-03-20,sh.600143,8.2200,8.4100,8.1000,8.2500,76391475
2020-03-23,sh.600143,7.9500,8.0500,7.6000,7.6900,68818622
2020-03-24,sh.600143,7.8500,7.9500,7.4600,7.8000,65984756
2020-03-25,sh.600143,8.1000,8.1400,7.8700,8.0300,69955462
2020-03-26,sh.600143,8.0000,8.4700,7.9500,8.3000,88812908
2020-03-27,sh.600143,8.4300,8.4600,8.1800,8.1900,54966602
2020-03-30,sh.600143,8.2100,8.2400,7.7400,7.9400,50392841
2020-03-31,sh.600143,8.0500,8.1500,7.8600,7.9200,39015163
2020-04-01,sh.600143,7.9000,8.0300,7.7700,7.7900,41407870
2020-04-02,sh.600143,7.7000,8.0700,7.6000,8.0500,47796180
2020-04-03,sh.600143,8.0500,8.1600,7.9100,7.9600,36948659
2020-04-07,sh.600143,8.1800,8.3900,8.1000,8.3100,60768752
2020-04-08,sh.600143,8.2400,8.5400,8.2300,8.4500,63356118
2020-04-09,sh.600143,8.5000,8.5200,8.3300,8.3600,43943066
2020-04-10,sh.600143,8.3700,9.1500,8.3200,9.0200,140556281
2020-04-13,sh.600143,9.2800,9.9200,9.0700,9.7200,175455607
2020-04-14,sh.600143,9.7200,9.9400,9.4000,9.7900,109273170
2020-04-15,sh.600143,9.8000,10.1100,9.6400,9.8300,83330914
2020-04-16,sh.600143,9.8100,9.8100,9.3500,9.3500,95406323
2020-04-17,sh.600143,9.4100,9.5500,9.1900,9.2400,78228958
2020-04-20,sh.600143,9.2000,10.1600,9.1000,10.1600,125029532
2020-04-21,sh.600143,10.3300,10.7300,10.1200,10.4800,166859791
2020-04-22,sh.600143,10.4000,10.5900,10.1300,10.2600,88663145
2020-04-23,sh.600143,10.4000,10.6500,10.2500,10.3400,76235321
2020-04-24,sh.600143,10.2500,10.6500,10.0300,10.3000,95467493
2020-04-27,sh.600143,10.4100,10.8500,10.3800,10.7000,108730664
2020-04-28,sh.600143,10.1800,10.1800,9.6300,9.6300,160690901
2020-04-29,sh.600143,9.3600,10.0800,9.3000,9.9200,106803093
2020-04-30,sh.600143,9.9500,10.1000,9.7300,9.7400,76053043
2020-05-06,sh.600143,9.7200,10.7100,9.6900,10.7100,129285423
2020-05-07,sh.600143,11.0000,11.0800,10.5200,10.8400,158709487
2020-05-08,sh.600143,11.0900,11.3700,10.8800,11.1800,112813386
2020-05-11,sh.600143,11.1800,11.1800,10.7600,10.9600,85007215
2020-05-12,sh.600143,11.0300,11.5600,11.0000,11.2400,101514435
2020-05-13,sh.600143,11.3500,12.1800,11.2400,12.0000,136060513
2020-05-14,sh.600143,11.9900,12.3300,11.8200,12.1600,97308167
2020-05-15,sh.600143,12.2600,12.3100,11.9200,12.1300,71067437
2020-05-18,sh.600143,13.3400,13.3400,13.0800,13.3400,66631453
2020-05-19,sh.600143,14.0000,14.4000,12.7500,13.2500,210252247
2020-05-20,sh.600143,13.3700,14.1200,13.3700,13.8100,145572320
2020-05-21,sh.600143,13.4900,14.1200,13.3500,13.6400,107597185
2020-05-22,sh.600143,13.7900,13.9600,13.3200,13.6400,84896138
2020-05-25,sh.600143,13.1000,13.5700,13.1000,13.4900,71954694
2020-05-26,sh.600143,13.4500,14.2400,13.4500,14.0900,75991458
2020-05-27,sh.600143,14.1700,14.4600,12.6800,12.6800,163502481
2020-05-28,sh.600143,12.6400,13.3000,12.1500,12.7800,101375778
2020-05-29,sh.600143,12.6800,12.8800,12.2800,12.6500,84809751
2020-06-01,sh.600143,12.5800,13.0900,12.3500,13.0000,82366160
2020-06-02,sh.600143,12.9900,13.2300,12.7200,12.8400,60973123
2020-06-03,sh.600143,13.0200,13.0400,12.6000,12.8400,44074393
2020-06-04,sh.600143,12.9000,12.9000,12.2100,12.5100,70704643
2020-06-05,sh.600143,12.6600,13.6600,12.6000,13.4900,94276138
2020-06-08,sh.600143,13.5500,13.7000,13.1100,13.1800,55355584
2020-06-09,sh.600143,13.2500,13.2900,13.0000,13.1800,32337260
2020-06-10,sh.600143,13.1700,13.1800,12.7100,13.0800,47117659
2020-06-11,sh.600143,12.6600,13.1900,12.5600,12.8400,56973614
2020-06-12,sh.600143,12.7900,13.6400,12.6700,13.3000,69253417
2020-06-15,sh.600143,13.7100,14.2000,13.4000,14.0400,93812462
2020-06-16,sh.600143,14.1000,14.3300,13.9000,14.0800,54302251
2020-06-17,sh.600143,14.1800,14.2500,13.7700,13.9200,45567193
2020-06-18,sh.600143,13.8200,13.9700,13.5300,13.6300,36988539
2020-06-19,sh.600143,13.6100,13.8500,13.5900,13.7000,28784760
2020-06-22,sh.600143,13.8100,14.0000,13.5500,13.6700,39503228
2020-06-23,sh.600143,13.6800,13.7000,13.2300,13.3300,35472862
2020-06-24,sh.600143,13.3000,13.4000,13.0500,13.1400,25518908
2020-06-29,sh.600143,13.1500,13.7500,12.7700,13.0000,50714158
2020-06-30,sh.600143,13.0500,13.2400,12.8900,13.1700,27540933
2020-07-01,sh.600143,13.3200,13.3200,12.8500,12.9600,35267741
2020-07-02,sh.600143,13.0200,13.6300,12.8200,13.4300,56592957
2020-07-03,sh.600143,13.4900,13.8500,13.1900,13.8000,61459157
2020-07-06,sh.600143,13.9900,14.1600,13.6500,14.0100,87277340
2020-07-07,sh.600143,14.2300,15.3000,14.0100,15.0900,100190662
2020-07-08,sh.600143,15.0100,15.6500,14.7700,15.4000,76903460
2020-07-09,sh.600143,15.6500,16.9400,15.4000,16.9400,100787205
2020-07-10,sh.600143,17.0500,18.0700,16.6300,17.6500,95643745
2020-07-13,sh.600143,18.0000,18.4900,17.0200,17.6800,156743162
2020-07-14,sh.600143,17.7600,17.7600,15.9500,16.4300,150915537
2020-07-15,sh.600143,16.6000,16.7500,15.7800,15.8200,85715879
2020-07-16,sh.600143,15.9300,16.1900,14.8100,14.9400,82272320
2020-07-17,sh.600143,14.9300,15.3300,14.6700,15.0300,57399393
2020-07-20,sh.600143,15.3100,15.7500,15.2000,15.7100,65911925
2020-07-21,sh.600143,15.8200,16.4400,15.7900,15.9700,56362137
2020-07-22,sh.600143,16.0100,16.0900,15.6600,15.8300,46024915
2020-07-23,sh.600143,15.6600,16.4800,15.5100,16.4600,85010347
2020-07-24,sh.600143,16.4900,16.4900,15.2300,15.2400,77599826
2020-07-27,sh.600143,15.2400,15.7500,15.2400,15.4700,41724043
2020-07-28,sh.600143,15.6000,16.2000,15.4800,16.0700,58059563
2020-07-29,sh.600143,15.9100,16.3500,15.7000,16.2800,62803169
2020-07-30,sh.600143,16.4100,16.6300,16.0000,16.0500,57806358
2020-07-31,sh.600143,15.9500,16.2700,15.7500,16.1400,59678254
2020-08-03,sh.600143,16.4300,17.2900,16.4300,17.0800,100200000
2020-08-04,sh.600143,17.5100,18.7900,17.0800,18.7600,198847719
2020-08-05,sh.600143,18.8500,19.1300,17.8500,18.0000,173976830
2020-08-06,sh.600143,17.9800,18.1700,16.7100,17.1000,129115718
2020-08-07,sh.600143,16.9600,17.5500,16.8800,17.3800,85255124
2020-08-10,sh.600143,16.0000,16.8800,15.6500,16.7400,152314526
2020-08-11,sh.600143,16.8600,17.0800,15.9300,15.9600,105565560
2020-08-12,sh.600143,15.9300,16.2500,15.1800,16.0500,91632200
2020-08-13,sh.600143,16.0600,16.2500,15.5100,15.8900,53984938
2020-08-14,sh.600143,16.2600,16.7500,16.1400,16.7100,89757261
2020-08-17,sh.600143,16.8000,17.0900,16.4000,16.7200,73544005
2020-08-18,sh.600143,16.8800,16.9300,16.4200,16.6300,53565923
2020-08-19,sh.600143,16.6100,16.6100,15.8700,15.9300,58720232
2020-08-20,sh.600143,15.7600,16.3200,15.5900,16.0300,38321112
2020-08-21,sh.600143,16.2900,16.7400,16.2300,16.4500,58189285
2020-08-24,sh.600143,16.6700,17.3500,16.6500,16.8600,70016663
2020-08-25,sh.600143,17.2000,17.2800,16.7200,16.9000,57874763
2020-08-26,sh.600143,16.8000,17.1700,16.5800,16.8200,56595909
2020-08-27,sh.600143,16.9200,18.0700,16.6700,17.8000,103370176
2020-08-28,sh.600143,17.8100,17.9800,17.3800,17.7200,72317648
2020-08-31,sh.600143,17.9100,18.0700,17.3600,17.4000,71828735
2020-09-01,sh.600143,17.5000,17.6400,16.9600,17.6200,57533047
2020-09-02,sh.600143,17.6500,17.9400,17.3800,17.5200,53948085
2020-09-03,sh.600143,17.6600,17.8600,17.3700,17.4000,48811832
2020-09-04,sh.600143,17.0300,17.5700,16.7500,17.4500,52679681
2020-09-07,sh.600143,17.4500,18.0400,17.4500,17.6100,72247393
2020-09-08,sh.600143,17.5000,17.6000,16.7200,16.9800,64262798
2020-09-09,sh.600143,16.6700,17.0600,16.1500,16.5700,53355749
2020-09-10,sh.600143,16.7700,16.9100,16.3800,16.3900,41267321
2020-09-11,sh.600143,16.5100,16.7200,16.1600,16.4900,34583462
2020-09-14,sh.600143,16.5900,16.8500,16.2500,16.3700,32434244
2020-09-15,sh.600143,16.3700,16.8300,16.2000,16.8000,38093511
2020-09-16,sh.600143,16.7000,16.7700,16.4600,16.5700,23704564
2020-09-17,sh.600143,16.7500,16.7600,16.3300,16.5700,23666170
2020-09-18,sh.600143,16.6300,16.8500,16.4300,16.8500,29949949
2020-09-21,sh.600143,16.8000,16.9600,16.4800,16.4800,29717036
2020-09-22,sh.600143,16.4000,16.7300,16.0200,16.0700,42240386
2020-09-23,sh.600143,16.0700,16.3000,15.7400,16.1200,30320864
2020-09-24,sh.600143,15.8700,15.8700,15.5900,15.6000,37262180
2020-09-25,sh.600143,15.6000,15.7300,15.3500,15.6100,24775739
2020-09-28,sh.600143,15.7700,15.9600,15.2300,15.3100,25179976
2020-09-29,sh.600143,15.3800,15.6800,15.3400,15.5300,22344639
2020-09-30,sh.600143,15.6300,15.8500,15.5400,15.7300,23769864
2020-10-09,sh.600143,16.1100,17.2000,16.0000,17.1300,71546829
2020-10-12,sh.600143,17.1700,17.9000,17.1700,17.8300,64166418
